country_code,is_capital,city_name,city_name_language,city_coordinates,source,city_name_AR,city_name_CH,city_name_EN,city_name_FR,city_name_RU,city_name_ES
AFG,True,"کابل  ,کابل  ","Dari,Pashto","34.49,69.17","UNGEGN,UNGEGN",كابول,喀布尔,Kabul,Kaboul,Кабул,Kabul
AND,True,Andora la Vella ,Catalan,"42.47,1.59",UNGEGN,أندورا لا فيلا,安道尔城,Andorra la Vella,Andorre-la-Vieille,Андорра-Ла-Вьеха,Andorra la Vieja
ATG,True,St John's,English,"17.12,-61.80",UNGEGN,سانت جونز,圣约翰,St John's,Saint John's,Сент-Джонс,Saint John's
ALB,True,Tiranë ,Albanian,"41.37,19.81",UNGEGN,تيرانا,地拉那,Tirana,Tirana,Тирана,Tirana
AGO,True,Luanda,Portuguese,"-8.89,13.27",UNGEGN,لواندا,罗安达,Luanda,Luanda,Луанда,Luanda
ARM,True,Երևան ,Armenian,"40.18,44.47",UNGEGN,يريفان,埃里温,Yerevan,Erevan,Ереван,Ereván
ARG,True,Ciudad de Buenos Aires,Spanish,"-34.60,-58.38",UNGEGN,بوينس آيرس,布宜诺斯艾利斯,Buenos Aires,Buenos Aires,Буэнос-Айрес,Buenos Aires
ARG,False,Comodoro Rivadavia,Spanish,"-45.87,-67.48",UNGEGN,,,,,,
ARG,False,Neuquén,Spanish,"-38.95,-68.07",UNGEGN,,,,,,
ARG,False,Bahía Blanca,Spanish,"-38.72,-62.27",UNGEGN,,,,,,
ARG,False,Mar del Plata,Spanish,"-38.00,-57.55",UNGEGN,,,,,,
ARG,False,Tandil,Spanish,"-37.32,-58.13",UNGEGN,,,,,,
ARG,False,Santa Rosa,Spanish,"-36.62,-64.28",UNGEGN,,,,,,
ARG,False,La Plata,Spanish,"-34.92,-57.95",UNGEGN,,,,,,
ARG,False,Mendoza,Spanish,"-34.90,-68.83",UNGEGN,,,,,,
ARG,False,Monte Grande,Spanish,"-34.82,-58.47",UNGEGN,,,,,,
ARG,False,Florencio Varela,Spanish,"-34.82,-58.27",UNGEGN,,,,,,
ARG,False,Temperley,Spanish,"-34.78,-58.40",UNGEGN,,,,,,
ARG,False,González Catán,Spanish,"-34.77,-58.65",UNGEGN,,,,,,
