country_code,country_name,country_coordinates
AFG,Afghanistan,"60.50526,29.394159,74.898827,38.453041"
ALB,Albania,"19.28249,39.667759,21.053049,42.661369"
DZA,Algeria,"-8.669294,18.976379,11.98645,37.083599"
AND,Andorra,"1.2, 42.3375, 2, 42.7375"
AGO,Angola,"11.73111,-18.01173,24.06221,-4.388889"
ATG,Antigua and Barbuda,"-61.891102,16.9897,-61.666401,17.725"
ARG,Argentina,"-73.58168,-55.04528,-53.65028,-21.78751"
ARM,Armenia,"43.47324,38.844219,46.622501,41.298599"
AUS,Australia,"112.908302,-43.64806,153.619995,-10.71056"
AUT,Austria,"9.54041,46.387489,17.179899,49.01582"
AZE,Azerbaijan,"44.77858,38.390541,50.384991,41.896702"
BHS,Bahamas (the),"-78.80307,22.256941,-73.829453,26.928329"
BHR,Bahrain,"50.466099,25.79055,50.613041,26.24028"
BGD,Bangladesh,"88.043297,20.7486,92.669418,26.625271"
BRB,Barbados,"-63.0445, 11.4415, -56.0445, 14.9415"
BLR,Belarus,"19.636511,51.2528,32.741402,56.167801"
BEL,Belgium,"2.541667,49.5061,6.400277,51.502769"
BLZ,Belize,"-94.45, 14.25, -82.45, 20.25"
BEN,Benin,"0.776667,6.210679,3.855,12.39332"
BTN,Bhutan,"86.45, 25.45, 94.45, 29.45"
BOL,Bolivia (Plurinational State of),"-69.652496,-22.901119,-57.45861,-9.682777"
BIH,Bosnia and Herzegovina,"15.7364,42.564522,19.619699,45.276901"
BWA,Botswana,"19.995819,-26.89468,29.370529,-17.797661"
BRA,Brazil,"-74.009453,-33.74773,-34.79945,5.273609"
BRN,Brunei Darussalam,"112.9, 3.65, 116.5, 5.45"
BGR,Bulgaria,"22.35944,41.254429,28.60638,44.243061"
BFA,Burkina Faso,"-5.52066,9.396385,2.401563,15.08305"
BDI,Burundi,"28.98749,-4.454723,30.85388,-2.299445"
CPV,Cabo Verde,"-32, 12, -16, 20"
KHM,Cambodia,"102.351402,10.00972,107.636398,14.70496"
CMR,Cameroon,"8.502497,1.654166,16.206409,13.08472"
CAN,Canada,"-141.001404,41.913319,-52.616669,83.113327"
CAF,Central African Republic (the),"14.41444,2.221102,27.45805,11.00139"
TCD,Chad,"13.46222,7.457776,23.99971,23.45055"
CHL,Chile,"-75.715561,-55.72057,-67.001106,-17.50528"
CHN,China,"73.623863,18.168881,134.772201,53.553871"
COL,Colombia,"-79.051681,-4.224228,-66.873383,12.45833"
COM,Comoros (the),"42.25, -13.2, 46.25, -11.2"
COG,Congo (the),"11.14151,-5.020615,18.642219,3.710833"
CRI,Costa Rica,"-85.89862,8.026709,-82.565193,11.21361"
CIV,Côte d'Ivoire,"-8.606667,4.347776,-2.488056,10.73495"
HRV,Croatia,"13.49639,42.398319,19.4261,46.541698"
CUB,Cuba,"-84.953339,19.821939,-74.131943,23.18638"
CYP,Cyprus,"32.269161,34.56332,34.581661,35.67165"
CZE,Czechia,"12.09347,48.57555,18.871652,51.031368"
PRK,Democratic People's Republic of Korea (the),"124.323601,37.680271,130.694794,42.980541"
COD,Democratic Republic of the Congo (the),"12.20966,-13.45195,31.277451,5.347498"
DNK,Denmark,"8.091389,54.570271,12.61806,57.74416"
DJI,Djibouti,"38.6, 9.8, 46.6, 13.8"
DMA,Dominica,"-64.85, 13.675, -57.85, 17.175"
DOM,Dominican Republic (the),"-71.991524,17.61833,-68.322243,19.928329"
ECU,Ecuador,"-91.666122,-5.003335,-75.218613,1.437926"
EGY,Egypt,"24.706381,21.99666,35.813042,31.63933"
SLV,El Salvador,"-90.105827,13.15666,-87.695267,14.45166"
GNQ,Equatorial Guinea,"9.357498,1.001944,11.35389,2.346065"
ERI,Eritrea,"36.443859,12.36389,43.12331,18.0089"
EST,Estonia,"21.83194,57.522202,28.195299,59.66832"
SWZ,Eswatini,"30.80222,-27.31667,32.13422,-25.72834"
ETH,Ethiopia,"32.989429,3.406666,47.98943,14.867343"
FJI,Fiji,"177.256302,-19.1614,179.989502,-16.152691"
FIN,Finland,"19.648331,59.804989,31.587299,70.079422"
FRA,France,"-4.790556,41.366379,9.543055,51.091099"
GAB,Gabon,"8.706387,-3.922898,14.51861,2.317276"
GMB,Gambia (the),"-16.826389,13.03709,-13.79861,13.82638"
GEO,Georgia,"40.006512,41.046101,46.7108,43.584702"
DEU,Germany,"5.869443,47.281101,15.03805,54.9174"
GHA,Ghana,"-5.0307118, 4.4527706, 2.9692882, 11.4527706"
GRC,Greece,"19.627501,34.929989,28.24222,41.744431"
GRD,Grenada,"-61.789699,11.9964,-61.596401,12.2378"
GTM,Guatemala,"-92.245941,13.74547,-88.213059,17.82111"
GIN,Guinea,"-15.07861,3.21361,8.961386,12.66603"
GNB,Guinea-Bissau,"-16.677811,10.92389,-13.64417,12.68472"
GUY,Guyana,"-61.389999,1.185555,-56.470909,8.533598"
HTI,Haiti,"-74.476959,18.02277,-71.62944,19.93277"
HND,Honduras,"-89.354874,12.98741,-83.130867,16.020269"
HUN,Hungary,"16.106701,45.760349,22.894859,48.575821"
ISL,Iceland,"-24.515,63.40276,-13.49778,66.534416"
IND,India,"68.139977,6.748887,97.394127,35.986099"
IDN,Indonesia,"95.198593,-10.93,141.008301,5.653888"
IRN,Iran (Islamic Republic of) ,"44.034161,25.07527,63.341931,39.78054"
IRQ,Iraq,"38.794552,29.10416,48.545181,37.38443"
IRL,Ireland,"-10.47278,51.44582,-5.994722,55.377209"
ISR,Israel,"34.267078,29.49379,35.669708,33.290272"
ITA,Italy,"6.620172,36.650829,18.51083,47.090542"
JAM,Jamaica,"-78.372787,17.696659,-76.188606,18.52194"
JPN,Japan,"127.652801,26.07888,145.818298,45.50552"
JOR,Jordan,"34.88443,29.188881,39.303081,33.377232"
KAZ,Kazakhstan,"46.499199,40.591099,87.345329,55.444698"
KEN,Kenya,"33.951382,-4.673122,41.913639,4.622081"
KIR,Kiribati,"-188, -12.5, -152, 5.5"
KWT,Kuwait,"46.541611,28.544359,48.419731,30.083879"
KGZ,Kyrgyzstan,"69.248901,39.191898,80.285477,43.2686"
LAO,Lao People's Democratic Republic (the),"100.0923,13.92,107.695198,22.50083"
